1	В Пакистане взорван автобус со студентками и захвачен госпиталь.	В Пакистане боевики подорвали автобус и захватили больницу.
1	На президентских выборах в Иране побеждает реформист Х.Рухани.	Победителем президентских выборов в Иране объявлен Хасан Рухани.
0	Иногородних сотрудников полиции на время Универсиады поселили на теплоходе.	«Ростелеком» вернул абонентам доступ к «Газете.ру».
1	Египет разорвал дипотношения с Сирией и режимом Б.Асада.	Египет разорвал дипломатические отношения с Сирией.
0	США готовы к диалогу с преемником М.Ахмадинежада.	Удальцов сообщил о скором предъявлении ему новых обвинений.
1	В Кувейте суд распустил парламент.	Высший суд Кувейта распустил парламент.
1	В центре Анкары запретили проведение любых демонстраций.	В центре Анкары запретили любые демонстрации.
1	Вашингтон заявил о своей открытости для диалога с КНДР.	Белый дом заявил об открытости для переговоров с КНДР.
1	Папа Римский благословил толпу байкеров на площади Св.Петра.	Папа Римский благословил байкеров.
1	Ведущие турецкие профсоюзы начали всеобщую забастовку.	Ведущие турецкие профсоюзы объявили национальную забастовку.
0	Судебный спор о могилах на Фарфоровском кладбище подошел к финалу.	Потерпевшим по делу «Булгарии» пригрозили принудительным приводом.
1	Потерпевших по делу Булгарии отыщут судебные приставы.	Потерпевшим по делу «Булгарии» пригрозили принудительным приводом.
1	Pepsi намерена потратить 2 млрд долл. на покупку израильской компании.	PepsiCo потратит два миллиарда долларов на сифоны.
1	Газпром и «Роснефть» наконец-то поделили российский шельф.	«Газпром» и «Роснефть» поделили Восточно-Сибирское море.
1	Титул Мисс США - 2013 завоевала бухгалтер из Коннектикута.	Конкурс «Мисс США» выиграла представительница Коннектикута.
1	Мисс мира лишится бикини из-за консервативности мусульман.	Конкурс красоты «Мисс мира» отказался от дефиле в бикини.
1	Гастарбайтеров заставят покупать миграционные векселя на 30 тыс. руб.	Мигрантов заставят покупать специальные векселя за 30 тысяч рублей.
1	На пенной вечеринке в Архангельске десятки человек получили ожоги глаз.	На пенной вечеринке в Архангельске 40 человек получили ожоги глаз.
1	Режиссер сериала Штрафбат заявил о ханжеской цензуре на ВГТРК.	Режиссер «Штрафбата» обвинил ВГТРК в «ханжеской» цензуре.
1	В Италии произошло землетрясение магнитудой 5,1.	На севере Италии произошло землетрясение.
1	В Хабаровском крае Ан-2 аварийно сел в лесополосе: 5 пострадавших.	Пять человек пострадали при жесткой посадке Ан-2 в Хабаровском крае.
1	Конкурс Мисс Вселенная - 2013 впервые пройдет в Москве.	Конкурс «Мисс Вселенная — 2013» пройдет в Москве.
0	Правительство одобряет увеличение страховки по вкладам.	Правительство согласилось поднять страховку по вкладам до миллиона рублей.
0	Первые контракты Ле-Бурже: Airbus пока обгоняет Boeing.	Airbus и Boeing заключили первые контракты на «Ле-Бурже 2013».
0	Трудный путь к солнцу: согреет ли Россию солнечная энергетика.	Airbus и Boeing заключили первые контракты на «Ле-Бурже 2013».
0	Финляндия гордится тем, что ее граждан нет в списках Forbes.	«Ё-мобиль» не пустили на Петербургский экономический форум.
0	Спикер Мурманской облдумы засветился в деле о краже 215 млн рублей.	Квартиру спикера Мурманской облдумы обыскали по делу о хищениях.
0	Спикер Мурманской облдумы засветился в деле о краже 215 млн руб.	Квартиру спикера Мурманской облдумы обыскали по делу о хищениях.
0	Кандидат в мэры Москвы С.Собянин представил главу предвыборного штаба.	Собянин официально выдвинулся в мэры Москвы.
0	Владимир Путин с супругой Людмилой.	Владимир и Людмила Путины объявили о разводе.
0	Фунт из дела Росагролизинга объявлен в розыск.	Главный свидетель по делу «Росагролизинга» превратился в обвиняемого.
1	Спецслужбы США признали слежку за иностранцами через Интернет.	Разведка США призналась в слежке за иностранцами через интернет.
1	Мосгордума определилась с днем выборов мэра столицы.	Мосгордума назначила выборы мэра.
1	Мэр Монреаля арестован по обвинению в коррупции.	Полиция задержала мэра Монреаля по подозрению в коррупции.
1	Скромные лосята забрели в московский двор и отказываются от завтрака.	В московский двор забрели лосята.
1	Warner Music купила российскую «Гала Рекордз».	Warner Music купила «Гала Рекордз».
1	Мосгорсуд смягчил наказание участникам беспорядков на Манежной площади.	Мосгорсуд смягчил приговор участникам беспорядков на Манежной.
1	По делу Банка Ватикана арестованы епископ, брокер и сотрудник спецслужб.	Епископа арестовали за мошенничество в Банке Ватикана.
1	В Москве задержали очередную стреляющую свадьбу.	В Москве задержали участников свадьбы со стрельбой.
1	Экспертиза признала белгородского стрелка вменяемым.	«Белгородского стрелка» признали вменяемым.
1	Верховный суд Кипра отказался признать стрижку счетов незаконной.	Верховный суд Кипра оправдал «стрижку» банковских счетов.
1	В Подмосковье открылось кладбище для героев и президентов.	Шойгу открыл в Подмосковье кладбище для героев России и президентов.
1	Бой идет не ради славы: В Москве открыли памятник А.Твардовскому.	В Москве открыли памятник Твардовскому.
1	В Забайкалье сошли с рельсов 4 вагона пассажирского поезда.	В Забайкалье сошли с рельсов четыре вагона пассажирского поезда.
0	Полиция захватила офис движения За права человека.	Полиция открестилась от штурма офиса «За права человека».
0	Полиция захватила офис движения За права человека.	Москва дала движению «За права человека» три дня на вывоз вещей из офиса.
1	Под Воронежем недовольные жители подожгли поселок геологов.	В Воронежской области экоактивисты подожгли поселок геологов.
1	В Москве пьяный узбек протаранил ворота и машину отдела МВД.	Пьяный узбек протаранил ворота отделения полиции в Москве.
1	В Пакистане убиты 9 иностранных туристов.	В Пакистане убиты десять иностранных туристов.
1	Херсонес внесли в список Всемирного наследия ЮНЕСКО.	Херсонес внесли в список наследия ЮНЕСКО.
0	Самолет с Эдвардом Сноуденом приземлился в Шереметьево.	Эдвард Сноуден переночует в «Шереметьево».
1	Эдвард Сноуден попросил убежище в Эквадоре.	Сноуден попросил убежища в Эквадоре.
1	Законопроект о реформе РАН поступил в Госдуму.	Законопроект о реформе РАН внесен в Госдуму.
1	Глава отделения пенсионного фонда по КБР получил условный срок.	Главе пенсионного фонда КБР дали условный срок за аферу.
1	Росавиация разрешила Red Wings вернуться в небо.	Росавиация вернула лицензию авиакомпании Red Wings.
1	«Яндекс» выпустил собственный мобильный браузер.	«Яндекс» представил мобильный браузер.
1	Производство водки в России сократилось на треть.	Производство водки в мае снизилось на треть.
1	Обвиняемый в убийстве брата С.Цапка оправдан судом.	Присяжные оправдали обвиняемого в убийстве брата Цапка.
1	Брюссель готов обсудить условия вступления Сербии в ЕС.	Брюссель согласился начать переговоры о вступлении Сербии в ЕС.
1	США попросили Россию выдать Э.Сноудена на родину.	США попросили Россию выдать Сноудена.
1	В молельной комнате в Москве задержаны несколько сотен человек.	В молельной комнате в Москве задержаны 300 человек.
0	Скандал после ЕГЭ: в Ставрополе увольняются врачи детской больницы.	Работники ставропольской больницы передумали увольняться из-за скандала с ЕГЭ.
1	Президент Узбекистана: Уезжающие в Россию за куском хлеба - лентяи.	Узбекский президент обозвал гастарбайтеров лентяями.
1	На северо-западе Москвы задержаны 60 участников драки.	После драки в московском общежитии задержали 60 человек.
1	Приз зрительских симпатий на ММКФ-2013 получил фильм о геях.	Приз зрительских симпатий ММКФ достался драме о геях.
1	Свадьба пела и стреляла: очередной случай произошел в Москве.	В Москве выявили очередную «стреляющую свадьбу».
1	Германия потребовала от США объяснений по прослушке чиновников Евросоюза.	Спецслужбы США шпионили за чиновниками Евросоюза.
1	Драка со стрельбой на северо-западе Москвы: 3 пострадавших.	В драке на северо-западе Москвы ранены трое.
1	Германия потребовала от США объяснений по прослушке чиновников Евросоюза.	Евросоюз потребовал от США объяснить сообщения о «прослушке».
1	Движение по Филевской линии московского метро остановило упавшее дерево.	Филевскую линию московского метро перегородило упавшее дерево.
0	США ввели санкции против компаний из Ирана, Киргизии и Украины.	Рынки развивающихся рисков.
0	Швеция готовится к свадьбе года.	ФАС задумалась о подрядчике Домодедово - Контракт на строительство новой ВПП не подписан в срок.
0	Производство водки в России сократилось на треть.	Топ-10 производителей водки в России*.
0	К концу 2013г. объем впустую сжигаемого газа должен сократиться вдвое.	Через парк на баррикады.
0	Комиссар Наших выстрелил в байкера, не поделив с ним дорогу.	«Пытаться искусственно влиять на курс не надо».
0	На командующего 58 армией России завели уголовное дело.	Владимир Путин приблизился к идеалу.
1	Разочарованный террорист: ФСБ сдался дублер домодедовского смертника.	У домодедовского смертника нашелся дублер.
0	Правительство Татарстана рассчитывает на рост доходов бюджета к 2015 г.	Небоскреб Газпрома ушел в землю.
0	Глава отделения Huawei в СНГ: Россия стала для меня первым шагом в мир.	Центральные отпадающие - Российский футбол: недействующая модель.
0	Гибелью бабушки и внука при пожаре в Петербурге занялись следователи.	Владимир Путин наградил причастных - Состоялось заседание Совета при президенте РФ по развитию физкультуры и спорта.
0	В Казани открылся самый крупный автомобильный паркинг.	Все вроде замечательно, но теперь стоит вопрос - а что будет после Игр?
1	Юбилей Михаила Ходорковского громче всего отметят НТВ и СКР.	НТВ и СКР отметят юбилей Михаила Ходорковского.
0	Преподаватель из СПбГУ узрел в госконтроле путь к стагнации науки.	Все вроде замечательно, но теперь стоит вопрос - а что будет после Игр?
0	В Албании и оппозиция, и правящая партия объявили о победе на выборах.	Французские правые померялись силами.
0	Власти Греции: От покупки DEPA Газпром отказался не из-за нас.	Газпром и Синтез отказались от Греции.
0	В Королеве при обрушении стены погиб один человек.	Газпром и Синтез отказались от Греции.
0	Самые довольные автомобилисты живут в Кемерово, Челябинске и Тюмени.	Все вроде замечательно, но теперь стоит вопрос - а что будет после Игр?
0	ЧП в метро произошло из-за состава, выпущенного в 2013г.	Все вроде замечательно, но теперь стоит вопрос - а что будет после Игр?
0	Ирина Прохорова не будет участвовать в выборах мэра Москвы.	Сергею Собянину не нужны проблемы Единой России.
0	Главный защитник США из АНБ рассказал о пользе слежки за гражданами.	Граждане США уходят от слежки через суд.
0	Совет Федерации пригласил Э.Сноудена к сотрудничеству.	Совет федерации обеспокоила «Призма».
0	ГИБДД обещает, что закрытие Ленинской дамбы не приведет к транспортному коллапсу.	Губернаторов вызвали на переподготовку.
0	СМИ узнали, кто и как будет руководить предвыборной кампанией С.Собянина.	Формализм в хорошей форме.
1	Ход конем: силовики провели обыски в банке Кирсана Илюмжинова.	У Кирсана Илюмжинова обыскали банк.
0	Заболевшие в Ростове-на-Дону дети выздоравливают без последствий.	Из свежей почты.
0	В Петербурге двух детей убило током на железной дороге.	Все вроде замечательно, но теперь стоит вопрос - а что будет после Игр?
0	Чиновники разрешат цитировать Гитлера в образовательных целях.	Все вроде замечательно, но теперь стоит вопрос - а что будет после Игр?
0	Прокуратура хочет закрыть дело Бетанкур в отношении Н.Саркози.	Какой футбол им не нужен - Против чего бразильцы протестуют и за что болеют.
0	Жюри конкурса по созданию концепции парка в Зарядье приступило к работе.	Названы шесть претендентов на создание парка в Зарядье.
1	РПР-ПАРНАС выдвинула Навального в мэры Москвы.	КС оппозиции решил поддержать Навального на выборах мэра Москвы.
0	Мэр Монреаля арестован по подозрению в коррупции.	Обвиненный в коррупции мэр Монреаля ушел в отставку.
0	Интернет-новость о назначении Моуринью тренером Челси назвали ошибкой.	«Челси» объявил о назначении Жозе Моуринью.
0	Светлана Кузнецова вышла в четвертьфинал Ролан Гаррос.	Шарапова вышла в четвертьфинал «Ролан Гаррос».
0	Михаил Южный не смог выйти в четвертьфинал Ролан Гаррос.	Шарапова вышла в четвертьфинал «Ролан Гаррос».
0	Банкиры настаивают на поправках к закону о национальной платежной системе.	Боевики заявили о захвате офиса ООН в столице Сомали.
1	Депутаты предложили проводить тестирование госслужащих на наркотики.	Депутатов и чиновников предложили проверять на наркотики.
0	Победителями SEM-2013 стали команды из 9 стран.	«Майами» вышел в финал плей-офф НБА.
0	Бывших военнослужащих без квартир уравняли в правах.	Вузы лишат права голоса при распределении бюджетных мест.
0	Сборная России в Мировой лиги по волейболу еще не потеряла ни одного очка.	Сборная России на ЧМ-2018 будет играть в Москве.
0	Светлана Кузнецова вышла в четвертьфинал Ролан Гаррос.	Светлана Кузнецова проиграла Серене Уильямс на «Ролан Гаррос».
1	Минобрнауки утвердило новую форму студенческого билета и зачетной книжки.	Минобрнауки утвердило новые студенческие билеты и зачетные книжки.
1	Минюст получит дополнительные возможности для внеплановых проверок НКО.	Минюсту расширят основания для внеплановых проверок НКО.
0	Цонга впервые вошел в четверку лучших игроков Ролан Гаррос.	Северная и Южная Кореи договорились о переговорах.
1	Вячеслав Малафеев готов вернуться в сборную России по футболу.	Малафеев решил вернуться в сборную России по футболу.
0	Экс-агент ЦРУ Эдвард Сноуден прилетел в Москву.	Самолет Сноудена вылетел из Москвы в Гавану.
1	Эмир Катара заявил, что передает власть в руки своего сына.	Эмир Катара отрекся от власти.
1	Анатолий Тимощук подписал контракт с питерским Зенитом.	Анатолий Тимощук вернулся в Зенит.
0	Сборная Испании по футболу не проигрывает уже в 28 матчах подряд.	Полуфинал континентального значения.
0	Телеканал Russia Today набрал миллиард просмотров на YouTube.	Russia Today набрал миллиард.
0	Владельцев сайтов могут призвать к ответственности за порочащую информацию.	На выход без вещей.
1	Сергей Собянин прекратил сбор подписей муниципальных депутатов.	Сергей Собянин готов делиться подписями.
0	Москва закрыла въезд для 12 тысяч мигрантов.	Таджик до Киева доведет - Чем опасна миграционная политика России.
1	Развозжаеву и Удальцову в СКР предъявили окончательное обвинение.	Ему и Леониду Развозжаеву предъявлены обвинения в окончательной редакции.
0	В Москве прошел видеомост о проблемах атомной энергетики.	Просто не до войны - Мария Портнягина выясняла, что происходит с экономикой юго-востока Украины.
0	В Кирове продолжился судебный процесс по делу о хищениях в Кировлесе.	Какой футбол им не нужен - Против чего бразильцы протестуют и за что болеют.
0	Юрий Вяземский: Моя свобода заключается в моей работе.	Все вроде замечательно, но теперь стоит вопрос - а что будет после Игр?
1	В ближайшие дни будет утверждаться генплан развития Химок до 2035 года.	Химки готовят к 2035 году.
1	Владимиру Колокольцеву присвоили звание генерал-полковника.	Владимиру Колокольцеву добавили звезд.
0	На выставке в Нижнем Тагиле покажут перспективную бронетехнику.	Торговля городами подходит к финалу.
0	Дмитрий Медведев позитивно оценил работу Открытого правительства.	Дмитрий Медведев обнаружил следы Открытого правительства.
0	Опровержение информации в статье Покусательный суд.	Все вроде замечательно, но теперь стоит вопрос - а что будет после Игр?
1	Борис Гельфанд выиграл Мемориал Таля.	Борис Гельфанд победил молодость.
0	Сборная Бразилии стала первым финалистом Кубка Конфедераций.	Какой футбол им не нужен - Против чего бразильцы протестуют и за что болеют.
0	Часть реконструируемого здания рухнула в центре Перми.	Все вроде замечательно, но теперь стоит вопрос - а что будет после Игр?
0	Neverwinter откроется в июне.	Все вроде замечательно, но теперь стоит вопрос - а что будет после Игр?
1	Сын Матвиенко покинул строительную компанию ВТБ.	Сергей Матвиенко покинул стройку.
0	В Москве установят светящуюся дорожную разметку.	«Мы не хотели бы оставаться один на один с оборонной промышленностью».
0	Минобрнауки сократит число рекомендованных учебников по истории.	Все вроде замечательно, но теперь стоит вопрос - а что будет после Игр?
0	Закон о досмотрах на вокзалах принят в первом чтении.	К борьбе с наркотиками подошли законотворчески.
0	Провал россиянок на Евробаскете связали с засильем иностранцев.	Сборная России не сделала разницу.
0	Испания выдаст России получившего убежище в Великобритании банкира.	Британское убежище не приняли в Испании.
0	На «доме Болконского» снесли часть купола.	Авиакомпании подсаживают к пассажирам агентов.
0	На месте Байкальского ЦБК построят парк для туристов.	Все вроде замечательно, но теперь стоит вопрос - а что будет после Игр?
0	Запущенный с Байконура спутник SES-6 выведен на орбиту.	Все вроде замечательно, но теперь стоит вопрос - а что будет после Игр?
1	МТС решила купить «Акадо».	МТС подключается к Акадо.
0	Российские энергетики потребовали с IKEA еще миллиард долларов.	Наличность трудно считать, а еще труднее контролировать - Как менялось отношение граждан и банков к наличным.
1	Назначен новый директор Ла Скала.	Назначен новый директор театра Ла Скала.
0	«Домодедово» построит к ЧМ по футболу новый терминал.	ФАС задумалась о подрядчике Домодедово - Контракт на строительство новой ВПП не подписан в срок.
0	СМИ сообщили о санкциях США в отношении Тягнибока.	Все вроде замечательно, но теперь стоит вопрос - а что будет после Игр?
0	Михаила Субботина допросили по «делу экспертов».	Как высшие суды переводили в Санкт-Петербург.
0	Михаила Субботина допросили по «делу экспертов».	Все вроде замечательно, но теперь стоит вопрос - а что будет после Игр?
1	Следователи обыскали банк Кирсана Илюмжинова.	У Кирсана Илюмжинова обыскали банк.
0	Отказ от создания Росфинагентства объяснили угрозой со стороны евреев.	О чем обычно пишут в бюджетных посланиях.
0	Большой театр покажет семь премьер в новом сезоне.	Большой театр объявил планы на новый сезон.
0	Студия Obsidian прояснила свое участие в проекте Mail.Ru.	Какой футбол им не нужен - Против чего бразильцы протестуют и за что болеют.
0	Российских журналистов могут приравнять к правоохранителям.	Журналистский труд могут приравнять к правоохранительной деятельности.
0	Российские пловцы и стрелки выиграли золотые медали Универсиады.	На Универсиаде в Казани российские боксеры выиграли шесть золотых медалей — Илья Трисвятский — Российская газета.
0	Брусника оказалась полезной для сердца и сосудов.	Росрыболовство: Красная икра подорожает к зиме на 10 процентов.
0	В автобусах Москвы прекращена продажа билетов на 2 поездки.	Власти Москвы проверили готовность служб города к аномальной жаре.
0	Как узнать, что написано в вашей кредитной истории и исправить неточности?	Двести тысяч человек смогут получить льготные кредиты на автомобили.
1	В Москве и Подмосковье объявлен траур по жертвам ДТП под Подольском.	В московском регионе по погибшим в ДТП под Подольском объявлен траур.
0	Финляндия: Не можем рассматривать просьбу Э.Сноудена как запрос об убежище.	Экс-агент ЦРУ Эдвард Сноуден попросил политического убежища в России.
1	В Германии объявили охоту на нацистских преступников.	Центр Симона Визенталя объявил новую охоту на нацистских преступников.
0	Пассажиры сошедшего с рельсов поезда на Кубани доставлены в Сочи.	Охрана аэропортов станет внимательнее к нервничающим пассажирам.
0	МВФ снизил прогноз роста мировой экономики.	Призывникам-командирам могут ввести доплаты.
1	Мохаммед Мурси помещен под домашний арест.	Президент Египта Мухаммед Мурси помещен под домашний арест.
0	Первым кандидатом на пост мэра Москвы стал коммунист.	В Москве 11 июля появится первый зарегистрированный кандидат в мэры.
0	Ананербе незаконно прописалось во всеволожском морге.	Эксперт: Рубль может подешеветь к доллару на десять процентов.
0	К теледебатам готовы все кандидаты в мэры Москвы, кроме С.Собянина.	Жильцов аварийного дома в Москве переселят на время ремонта.
0	При крушении Boeing 777 в Сан-Франциско пострадали около 100 человек.	При крушении самолета в Сан-Франциско пострадали более 70 человек.
1	Хорватия официально вступила в Евросоюз.	Хорватия вступила в Евросоюз.
1	Авиакатастрофа в Сан-Франциско: двое погибших, 181 пострадавший.	Число пострадавших в авиакатастрофе в Сан-Франциско увеличилось до 181 человека.
1	Самолет на солнечных батареях удачно завершил перелет над США.	Самолет на солнечных батареях завершил перелет через США.
1	Сборная России на Универсиаде выиграла первую золотую медаль.	Россия получила первое золото на Универсиаде.
1	Россия взяла первое золото на Универсиаде.	Россия получила первое золото на Универсиаде.
0	Число жертв крушения состава с нефтью в Квебеке выросло до 5.	Количество жертв крушения поезда в Канаде выросло до трех.
1	СК назвал предварительные версии крушения поезда на Кубани.	МВД назвало причину схода с рельсов поезда в Краснодарском крае.
0	На Кубани попал в аварию поезд с отпускниками.	Из-за аварии поезда на Кубани в больницу попали 16 человек.
0	В Аризоне 19 спасателей погибли при пожаре.	В Аризоне погибли 19 пожарных.
0	Министр образования Карачаево-Черкесии задержан за взятку.	Министра образования Карачаево-Черкесии заподозрили во взятке накануне ЕГЭ.
0	Пассажиры сошедшего с рельсов поезда на Кубани доставлены в Сочи.	Пассажиры сошедшего с рельсов на Кубани поезда отправлены в Адлер.
0	По факту крушения поезда на Кубани возбуждено дело.	Пассажиры сошедшего с рельсов на Кубани поезда отправлены в Адлер.
1	- и Россия расплатится с Чехией за СССР.	Россия рассчитается с Чехией по долгам СССР.
1	Жена госсекретаря США попала в больницу в критическом состоянии.	Жена госсекретаря США госпитализирована в критическом состоянии.
1	Взорвавший Невский экспресс террорист скончался в колонии.	Подрывник «Невского экспресса» умер в колонии.
1	В колонии умер подрывник Невского Экспресса Т.Картоев.	Подрывник «Невского экспресса» умер в колонии.
1	Полицейский за рулем протаранил жилой дом на Камчатке.	Автомобиль с полицейским за рулем врезался в жилой дом на Камчатке.
1	На месте трагедии под Подольском поставят светофор.	На месте аварии под Подольском поставят светофор.
1	Обвинение предъявлено второму из братьев Билаловых.	Магомеду Билалову предъявили обвинение.
1	Авиакатастрофа в Сан-Франциско: Boeing 777 сажал пилот-стажер.	Разбившийся в Сан-Франциско Boeing 777 сажал пилот-стажер.
0	Россия подала иск к Библиотеке конгресса США из-за коллекции Шнеерсона.	Минкульт подал в суд на библиотеку Конгресса США.
0	Следствие будет просить об аресте виновника ДТП под Подольском.	Виновника ДТП в Подмосковье арестовали.
0	Виновник аварии под Подольском арестован.	Виновника ДТП в Подмосковье арестовали.
1	Китай на 5 лет запретил строительство новых административных зданий.	В Китае ввели пятилетний запрет на строительство административных зданий.
1	Пляжи Севастополя закроют из-за авиабомбы времен ВОВ.	Пляжи Севастополя закроют из-за немецкой авиабомбы.
0	На Курском направлении МЖД приостановлено движение поездов.	На Курском направлении МЖД остановились электрички.
1	В Новгородской области 5 рабочих погибли на насосной станции.	На новгородской насосной станции погибли пять рабочих.
1	Дженнифер Лопес извинилась за выступление перед президентом Туркмении.	Лопес извинилась за концерт для туркменского президента.
1	Владимир Путин повысил налог на дорогие автомобили.	Путин повысил налог на дорогие автомобили.
1	Принц Уильям и Кейт показали миру своего сына.	Принц Уильям и Кейт Миддлтон показали своего новорожденного сына.
0	Астрономы обнаружили у Нептуна 14-й спутник.	У Нептуна нашли новый спутник.
0	Сергей Собянин зарегистрирован кандидатом в мэры Москвы.	Навального зарегистрируют кандидатом в мэры Москвы накануне приговора.
0	Пассажиры сошедшего с рельсов поезда на Кубани доставлены в Сочи.	Пассажиры сошедшего с рельсов поезда добрались до Адлера.
1	Париж укроет спилившую крест активистку FEMEN от гнева В.Януковича.	Спилившая крест активистка FEMEN получила убежище во Франции.
0	Ирину Антонову уволили с поста директора Пушкинского музея.	Ирина Антонова покинет пост директора ГМИИ.
1	Болгарская полиция разблокировала здание парламента.	Болгарская полиция освободила депутатов и министров из здания парламента.
0	На севере Египта совершена атака на полицейский участок.	В Египте при нападении на полицейский участок пострадали 17 человек.
1	По факту крушения поезда на Кубани возбуждено дело.	СК РФ завел дело о крушении поезда на Кубани.
0	Тарифы на электроэнергию для населения выросли с 1 июля на 12-15%.	ОАЭ и Турция получат транспортные вертолеты Chinook.
1	Москва выплатит семьям погибших в ДТП под Подольском по 1 млн руб.	Подмосковье выделило по миллиону семьям погибших в ДТП под Подольском.
0	Четверть россиян выступают за отделение Чечни от РФ.	Пресс-секретарь Кадырова раскритиковал опрос об отделении Чечни от РФ.
1	Выборы мэра Москвы покажут на весь мир.	Выборы мэра Москвы покажут в Сети.
0	Боями в РИИИ во время визита В.Мединского может заняться прокуратура.	Из правительства Мурси ушли четыре министра.
0	Кандидат в мэры от ЛДПР: Будем работать в команде с В.Путиным.	Болгарский парламент решил воздержаться от работы на время протестов.
